datetime	wtr_0	wtr_0.5	wtr_1	wtr_1.5	wtr_2	wtr_2.5	wtr_3	wtr_3.5	wtr_4	wtr_4.5	wtr_5	wtr_5.5	wtr_6	wtr_6.5	wtr_7	wtr_8	wtr_9	wtr_10	wtr_11	wtr_12	wtr_13	wtr_14	wtr_15	wtr_16	wtr_17	wtr_18	wtr_19	wtr_20
2006-06-27 12:00:00	22.205	22.202	22.244	22.219	22.259	22.214	22.055	22.23	22.24	22.149	22.081	21.981	21.793	21.735	21.66	15.575	13.342	13.084	12.661	12.389	12.238	12.123	11.925	NA	NA	NA	NA	NA
2006-06-28 12:00:00	22.245	22.246	22.272	22.233	22.268	22.227	22.066	22.237	22.229	22.141	22.115	21.986	21.572	20.931	20	17.029	14.774	13.67	13.016	12.678	12.138	11.777	11.571	NA	NA	NA	NA	NA
2006-06-29 12:00:00	23.403	22.942	22.594	22.343	22.249	22.135	21.907	22.03	21.975	21.856	21.821	21.642	21.228	20.667	20.004	18.471	16.357	14.555	13.286	12.596	11.956	11.61	11.406	NA	NA	NA	NA	NA
2006-06-30 12:00:00	23.416	23.316	23.175	22.944	22.751	22.64	22.397	22.49	22.389	22.125	21.818	21.544	21.197	20.912	20.389	18.917	16.185	13.724	12.88	12.191	11.738	11.565	11.39	NA	NA	NA	NA	NA
2006-07-01 12:00:00	22.321	22.305	22.327	22.287	22.31	22.263	22.079	22.237	22.204	21.992	21.864	21.794	21.684	21.571	21.274	19.841	16.469	14.304	12.871	12.086	11.558	11.244	11.122	NA	NA	NA	NA	NA
2006-07-02 12:00:00	22.762	22.709	22.697	22.611	22.582	22.492	22.261	22.361	22.259	22.107	22.009	21.916	21.61	21.245	20.898	18.925	16.614	15.205	14.321	13.676	13.124	12.729	12.414	NA	NA	NA	NA	NA
2006-07-03 12:00:00	23.037	23.001	23.013	22.944	22.956	22.897	22.641	22.745	22.693	22.594	22.533	22.408	22.021	21.458	20.639	19.361	16.925	15.155	13.754	12.94	12.42	12.108	11.864	NA	NA	NA	NA	NA
2006-07-04 12:00:00	23.734	23.713	23.732	23.677	23.702	23.66	23.385	23.377	23.185	22.931	22.732	22.459	21.964	21.331	20.957	20.128	17.201	14.32	13.031	12.33	11.991	11.763	11.544	NA	NA	NA	NA	NA
2006-07-05 12:00:00	24.288	24.235	24.207	24.105	24.039	23.922	23.594	23.513	23.287	23.015	22.811	22.644	22.336	21.949	21.576	20.324	16.312	13.349	12.712	12.403	12.107	11.908	11.706	NA	NA	NA	NA	NA
2006-07-06 12:00:00	25.031	24.459	24.272	24.084	23.986	23.909	23.576	23.64	23.476	23.282	23.084	22.731	22.172	21.622	20.984	19.611	16.806	14.932	13.572	12.638	12.173	11.906	11.729	NA	NA	NA	NA	NA
