Date Time,Temp,SpCond,pH,Orp,Turbid+,ODOsat,ODO
M/D/Y HH:MM:SS,C,uS,,mV,NTU,%,mg/L
10/2/14 9:15,17.76,661,8,-50.9,6.7,97.6,9.27
10/2/14 9:30,17.86,661,7.91,-56,3.2,107.1,10.15
10/2/14 9:45,18.02,662,7.95,-64.6,3.1,110.9,10.47
10/2/14 10:00,18.19,662,7.97,-67.4,3,114.2,10.75
10/2/14 10:15,18.34,661,7.99,-70.1,3.1,117.4,11.01
10/2/14 10:30,18.47,660,8.01,-70.4,3.2,120,11.23
10/2/14 10:45,18.62,659,8.02,-69.7,2.9,122.6,11.44
10/2/14 11:00,18.74,659,8.04,-69.3,3,125,11.64
10/2/14 11:15,18.81,658,7.97,-66.8,3,126.2,11.73
10/2/14 11:30,18.86,657,7.88,-43.3,3.1,122.3,11.36
10/2/14 11:45,18.88,657,7.85,-58,2.9,126,11.7
10/2/14 12:00,18.91,658,7.84,-40.9,3.1,125.6,11.65
10/2/14 12:15,18.9,656,7.83,-54.9,2.8,123.4,11.44
10/2/14 12:30,18.88,656,7.79,-54.4,2.8,120.8,11.21
10/2/14 12:45,18.87,655,7.8,-43.2,2.8,117.4,10.9
10/2/14 13:00,18.84,655,7.79,-53.3,2.7,116.7,10.84
10/2/14 13:15,18.81,656,8.31,-67.8,2.8,114.8,10.67
10/2/14 13:30,18.79,656,8.3,-64.2,2.6,114.1,10.61
10/2/14 13:45,18.79,658,8.41,-70,2.6,113.5,10.55
10/2/14 14:00,18.78,661,8.21,-64,2.8,112.7,10.48
10/2/14 14:15,18.77,660,8.24,-64.1,2.7,112.3,10.45
10/2/14 14:30,18.76,660,8.14,-58.3,2.7,111.5,10.38
10/2/14 14:45,18.76,659,8.1,-58.2,2.8,111.4,10.36
10/2/14 15:00,18.75,659,8.21,-60.1,2.9,111.5,10.37
10/2/14 15:15,18.75,657,8.32,-65.4,2.9,110.7,10.3
10/2/14 15:30,18.74,656,8.23,-58.7,2.8,110.4,10.28
10/2/14 15:45,18.74,654,8.19,-55.2,2.8,109.9,10.23
10/2/14 16:00,18.73,655,8.26,-62,2.9,109.2,10.17
10/2/14 16:15,18.72,653,8.21,-54.5,2.9,108,10.05
10/2/14 16:30,18.69,655,8.27,-60.4,3.1,106.4,9.91
10/2/14 16:45,18.67,653,8.09,-54,3,104.9,9.78
10/2/14 17:00,18.65,655,8.09,-53.3,3,103.2,9.62
10/2/14 17:15,18.63,655,8.14,-56.9,2.9,101.5,9.47
10/2/14 17:30,18.6,652,8.08,-53.3,3.2,99.7,9.31
10/2/14 17:45,18.58,652,8.08,-54.3,3.3,98.2,9.17
10/2/14 18:00,18.55,651,8.03,-50.7,3.8,96.5,9.02
10/2/14 18:15,18.51,648,8.05,-51.7,4,96.7,9.05
10/2/14 18:30,18.44,626,7.96,-51,11.3,94.3,8.83
10/2/14 18:45,18.37,610,8.05,-51.5,18.4,93.2,8.74
10/2/14 19:00,18.23,591,7.98,-51.8,33,91.4,8.6
10/2/14 19:15,18.1,562,7.89,-45.5,68.7,89.6,8.45
10/2/14 19:30,18.01,564,7.82,-45.7,61.3,88,8.32
10/2/14 19:45,17.91,539,7.72,-40.7,76.4,86.4,8.18
10/2/14 20:00,17.83,520,7.74,-42.2,87.3,85.7,8.13
10/2/14 20:15,17.76,532,7.69,-39.8,75.3,84.3,8.01
10/2/14 20:30,17.65,539,7.65,-38.7,65.3,85.5,8.14
10/2/14 20:45,17.53,532,7.52,-34.8,80.9,82.2,7.85
10/2/14 21:00,17.51,526,7.73,-38.7,500.8,83.2,7.95
10/2/14 21:15,17.59,377,8.79,-70.4,675.5,78.6,7.49
10/2/14 21:30,17.7,252,8.85,-71.4,767.5,71.8,6.83
10/2/14 21:45,17.72,233,9.01,-72.1,752.9,70,6.66
10/2/14 22:00,17.69,245,8.63,-62.3,709.1,68.7,6.55
10/2/14 22:15,17.71,230,9.08,-71.5,681,67.1,6.39
10/2/14 22:30,17.76,219,9.5,-84.7,628.1,66.6,6.33
10/2/14 22:45,17.77,210,9.58,-84.2,596,65.8,6.26
10/2/14 23:00,17.77,204,9.35,-77.9,556.6,67.6,6.43
10/2/14 23:15,17.77,203,9.19,-73.4,508,64.9,6.17
10/2/14 23:30,17.77,209,9.28,-74,474.1,64.9,6.17
10/2/14 23:45,17.75,214,8.88,-63.4,432,63.6,6.05
10/3/14 0:00,17.74,221,8.75,-57.8,375.7,63.1,6
10/3/14 0:15,17.72,228,8.44,-51.9,865.1,62.6,5.96
10/3/14 0:30,17.7,236,8.29,-45.5,318,62.3,5.93
10/3/14 0:45,17.68,244,9.12,-70.2,290.7,61.9,5.89
10/3/14 1:00,17.66,252,9.21,-68.9,295.5,61.7,5.88
10/3/14 1:15,17.63,259,8.92,-65,260.9,61.5,5.86
10/3/14 1:30,17.61,267,9.19,-67.8,245.4,61.5,5.86
10/3/14 1:45,17.59,274,8.37,-49.6,237.4,61.4,5.86
10/3/14 2:00,17.56,281,8.08,-38.1,440.9,61.3,5.85
10/3/14 2:15,17.54,286,8.7,-58.6,257.1,61.3,5.86
10/3/14 2:30,17.52,292,7.72,-29.5,230.1,61.3,5.86
10/3/14 2:45,17.5,298,8.82,-61.1,406.1,61.1,5.84
10/3/14 3:00,17.48,302,8.16,-38.9,298.3,60.9,5.82
10/3/14 3:15,17.46,309,8.34,-41.1,419.9,60.8,5.82
10/3/14 3:30,17.44,315,8.91,-57.5,215.6,60.6,5.8
10/3/14 3:45,17.42,320,7.43,-22.7,216.5,60.4,5.78
10/3/14 4:00,17.39,325,7.04,-10.3,197.4,60.3,5.77
10/3/14 4:15,17.36,331,7.21,-18,174.1,60.4,5.79
10/3/14 4:30,17.34,340,7.38,-20.2,178.8,60.7,5.82
10/3/14 4:45,17.3,345,7.07,-5.4,169.7,60.1,5.77
10/3/14 5:00,17.25,349,7.57,-25,164,60.9,5.85
10/3/14 5:15,17.19,354,7.22,-19,166.9,59.9,5.76
10/3/14 5:30,17.13,358,6.82,-7.9,173.6,61.4,5.91
10/3/14 5:45,17.07,361,6.78,-4.8,154.1,61.5,5.93
10/3/14 6:00,17.01,366,6.42,2.2,152.4,62,5.98
10/3/14 6:15,16.95,369,6.84,-6.2,146.5,62.1,6.01
10/3/14 6:30,16.9,373,7.81,-34.5,143.1,62.3,6.03
10/3/14 6:45,16.85,376,6.74,-3.1,147.4,62.3,6.03
10/3/14 7:00,16.79,379,7.93,-36.5,173.1,62.1,6.03
10/3/14 7:15,16.74,380,6.84,-4.7,574.1,62.2,6.04
10/3/14 7:30,16.68,384,7.88,-37.2,137.2,62.4,6.06
10/3/14 7:45,16.62,386,6.97,-8.2,135,62.5,6.09
10/3/14 8:00,16.56,387,8.3,-49.2,132.9,62.7,6.11
10/3/14 8:15,16.51,389,8.02,-37.5,134.5,62.9,6.13
10/3/14 8:30,16.47,390,7.93,-38.9,131.3,63.2,6.17
10/3/14 8:45,16.44,392,7.93,-34.1,139.8,63.7,6.22
10/3/14 9:00,16.39,393,7.7,-32.5,129.3,64.1,6.27
10/3/14 9:15,16.35,395,7.91,-34,125.9,64.6,6.32
10/3/14 9:30,16.31,396,7.67,-31.9,125.6,64.9,6.36
10/3/14 9:45,16.27,397,7.56,-23.9,124.8,65.4,6.41
10/3/14 10:00,16.24,398,8.13,-41.6,126,65.6,6.43
10/3/14 10:15,16.21,399,7.22,-14.1,125.4,65.9,6.46
10/3/14 10:30,16.19,400,7.1,-14.3,124.2,66.1,6.49
10/3/14 10:45,16.21,401,6.99,-8,128.2,66.5,6.53
10/3/14 11:00,16.24,403,6.85,-7,130.4,67,6.58
10/3/14 11:15,16.25,404,6.4,8.6,125.3,67.4,6.61
10/3/14 11:30,16.29,406,7.31,-17.6,119.5,67.8,6.65
10/3/14 11:45,16.32,408,7.84,-30.5,122.8,68.2,6.68
10/3/14 12:00,16.34,409,7.76,-24.9,128.7,68.1,6.67
10/3/14 12:15,16.33,412,7.75,-20.1,110.8,68.8,6.74
10/3/14 12:30,16.33,413,7.85,-30.9,114.7,69.3,6.78
10/3/14 12:45,16.33,416,7.89,-30,221.4,66.6,6.52
10/3/14 13:00,16.33,418,8.02,-34,117,69.3,6.79
10/3/14 13:15,16.32,420,8.17,-37.4,109.3,68.5,6.71
10/3/14 13:30,16.29,422,8.12,-37.5,109.7,70,6.85
10/3/14 13:45,16.26,425,8.12,-35.6,113.1,69.8,6.84
10/3/14 14:00,16.23,427,8.26,-41.4,103,70.4,6.91
10/3/14 14:15,16.19,430,8.17,-38.7,106.6,70.5,6.92
10/3/14 14:30,16.16,432,8.14,-35.1,99.3,69.1,6.78
10/3/14 14:45,16.12,434,7.96,-33.1,104.4,69.4,6.82
10/3/14 15:00,16.08,438,7.9,-30.8,98.4,70.6,6.95
10/3/14 15:15,16.02,440,8.08,-34.6,97.5,70.3,6.93
10/3/14 15:30,15.96,441,7.93,-30.2,92.8,70.8,6.99
10/3/14 15:45,15.89,444,7.86,-27.3,95.5,70.8,7
10/3/14 16:00,15.84,447,7.6,-24.5,87.9,71,7.03
10/3/14 16:15,15.79,448,7.11,-9.6,89.7,71.1,7.04
10/3/14 16:30,15.74,451,7.41,-20.1,89.6,71.3,7.06
10/3/14 16:45,15.7,453,7.01,-5,84.9,71.4,7.08
10/3/14 17:00,15.65,456,7.3,-17.4,87.2,71.5,7.1
10/3/14 17:15,15.59,458,7.5,-19.3,83.1,71.5,7.11
10/3/14 17:30,15.54,460,7.61,-25.3,82.2,71.7,7.14
10/3/14 17:45,15.48,463,7.45,-17.2,83,71.7,7.15
10/3/14 18:00,15.43,466,7.48,-23.1,83.3,71.7,7.16
10/3/14 18:15,15.37,468,7.38,-16.5,77.1,71.8,7.17
10/3/14 18:30,15.29,470,7.41,-23.4,82.3,71.9,7.19
10/3/14 18:45,15.19,472,7.55,-20.2,76.7,71.9,7.21
10/3/14 19:00,15.1,475,7.49,-25.3,74,72.1,7.24
10/3/14 19:15,15,477,7.49,-25.3,72.5,72.1,7.27
10/3/14 19:30,14.9,479,7.48,-21,70.4,72.4,7.31
10/3/14 19:45,14.81,481,7.32,-23.1,71.5,72.6,7.34
10/3/14 20:00,14.74,483,7.51,-23.7,73.2,72.7,7.36
10/3/14 20:15,14.66,486,8.28,-49.9,101.3,72.8,7.39
10/3/14 20:30,14.58,488,8.3,-47.1,67.4,73,7.41
10/3/14 20:45,14.49,489,8.04,-44.4,65.5,73.2,7.45
10/3/14 21:00,14.42,492,8.36,-49.2,63.9,73.3,7.47
10/3/14 21:15,14.34,493,8.05,-46.7,63.8,73.5,7.51
10/3/14 21:30,14.27,495,8.16,-46.7,61.9,73.7,7.54
10/3/14 21:45,14.19,498,9.1,-75.2,60.7,73.9,7.57
10/3/14 22:00,14.12,500,8.94,-68.7,61.2,74.1,7.61
10/3/14 22:15,14.06,500,8.82,-66.8,60.1,74.4,7.64
10/3/14 22:30,14,502,9.03,-61.8,59.8,74.6,7.67
10/3/14 22:45,13.94,505,9.11,-74.6,58.7,74.9,7.72
10/3/14 23:00,13.89,507,9.61,-86.3,57.4,75.1,7.75
10/3/14 23:15,13.83,509,9.46,-83.8,56.5,75.3,7.78
10/3/14 23:30,13.76,510,9.57,-84.4,56.4,75.5,7.81
10/3/14 23:45,13.7,511,9.64,-75.9,55.5,75.8,7.85
10/4/14 0:00,13.64,514,9.58,-82.6,55.2,76,7.88
10/4/14 0:15,13.59,515,9.51,-81.2,53.7,76.3,7.92
10/4/14 0:30,13.54,517,9.44,-77.9,53.8,76.6,7.96
10/4/14 0:45,13.48,518,9.28,-75.8,52.7,76.7,7.99
10/4/14 1:00,13.42,519,9.47,-79.1,51.5,76.9,8.02
10/4/14 1:15,13.36,522,9.42,-79.3,51.1,77.2,8.06
10/4/14 1:30,13.3,523,9.22,-72.7,51.2,77.4,8.09
10/4/14 1:45,13.25,525,9.32,-76.4,49.9,77.6,8.12
10/4/14 2:00,13.19,525,9.42,-77.4,49,77.8,8.15
10/4/14 2:15,13.14,527,9.42,-78,48.4,78.1,8.19
10/4/14 2:30,13.08,528,8.98,-66.3,48.1,78.2,8.21
10/4/14 2:45,13.01,530,8.52,-57.3,48,78.4,8.25
10/4/14 3:00,12.95,531,9.09,-68.3,47.1,78.6,8.27
10/4/14 3:15,12.9,534,8.99,-67.5,45.5,78.7,8.3
10/4/14 3:30,12.85,536,8.74,-61.1,45.5,78.8,8.32
10/4/14 3:45,12.79,536,9.19,-71.8,44.6,79.1,8.36
10/4/14 4:00,12.74,537,9.48,-75.5,44.1,79.3,8.39
10/4/14 4:15,12.69,537,9.52,-77.3,43.5,79.5,8.42
10/4/14 4:30,12.64,539,9.58,-76.4,43.4,79.6,8.44
10/4/14 4:45,12.6,539,9.34,-72.3,49.3,79.7,8.47
10/4/14 5:00,12.56,541,9.65,-77.3,50.7,79.9,8.49
10/4/14 5:15,12.52,542,9.4,-71.4,41.8,80.1,8.52
10/4/14 5:30,12.48,543,9.58,-71.7,44.4,80.3,8.55
10/4/14 5:45,12.45,544,9.46,-69.9,42.9,80.6,8.58
10/4/14 6:00,12.42,545,9.6,-69.3,39.7,80.5,8.58
