Date Time,Temp,SpCond,pH,,Turbid+,ODOsat,ODO
M/D/Y HH:MM:SS,C,uS,,,NTU,%,mg/L
12/12/14 12:45,3.75,646,8.16,,2.8,0,0
12/12/14 13:00,3.81,646,8.21,,2.8,0,0
12/12/14 13:15,3.88,645,8.24,,2.8,0,0
12/12/14 13:30,3.94,645,8.26,,2.6,0,0
12/12/14 13:45,3.99,644,8.27,,2.5,0,0
12/12/14 14:00,4.05,644,8.27,,2.6,0,0
12/12/14 14:15,4.12,643,8.28,,3.1,0,0
12/12/14 14:30,4.18,643,8.28,,2.6,0,0
12/12/14 14:45,4.22,642,8.28,,2.8,0,0
12/12/14 15:00,4.25,642,8.28,,2.7,0,0
12/12/14 15:15,4.28,642,8.28,,2.9,0,0
12/12/14 15:30,4.31,643,8.28,,2.6,0,0
12/12/14 15:45,4.33,643,8.27,,2.6,0,0
12/12/14 16:00,4.34,643,8.27,,2.6,0,0
12/12/14 16:15,4.35,644,8.26,,2.3,0,0
12/12/14 16:30,4.36,644,8.25,,2.7,0,0
12/12/14 16:45,4.37,645,8.24,,2.3,0,0
12/12/14 17:00,4.37,646,8.24,,2.6,0,0
12/12/14 17:15,4.37,646,8.23,,1.7,0,0
12/12/14 17:30,4.37,647,8.22,,1.7,0,0
12/12/14 17:45,4.37,647,8.21,,1.8,0,0
12/12/14 18:00,4.36,648,8.2,,1.8,0,0
12/12/14 18:15,4.35,648,8.2,,1.7,0,0
12/12/14 18:30,4.35,649,8.19,,1.8,0,0
12/12/14 18:45,4.34,650,8.18,,1.8,0,0
12/12/14 19:00,4.33,650,8.17,,1.8,0,0
12/12/14 19:15,4.32,651,8.16,,2.4,0,0
12/12/14 19:30,4.31,652,8.15,,2.2,0,0
12/12/14 19:45,4.31,652,8.15,,1.8,0,0
12/12/14 20:00,4.3,653,8.14,,1.9,0,0
12/12/14 20:15,4.29,654,8.13,,2,0,0
12/12/14 20:30,4.28,654,8.12,,2,0,0
12/12/14 20:45,4.28,655,8.11,,2.3,0,0
12/12/14 21:00,4.27,655,8.11,,2.4,0,0
12/12/14 21:15,4.26,656,8.1,,2.8,0,0
12/12/14 21:30,4.26,656,8.1,,2.8,0,0
12/12/14 21:45,4.25,656,8.09,,2.3,0,0
12/12/14 22:00,4.24,657,8.09,,2.3,0,0
12/12/14 22:15,4.23,657,8.09,,2,0,0
12/12/14 22:30,4.23,657,8.09,,2.1,0,0
12/12/14 22:45,4.22,657,8.09,,2.2,0,0
12/12/14 23:00,4.21,657,8.08,,1.9,0,0
12/12/14 23:15,4.21,657,8.08,,2.1,0,0
12/12/14 23:30,4.19,657,8.08,,2,0,0
12/12/14 23:45,4.16,658,8.08,,2.2,0,0
12/13/14 0:00,4.13,658,8.08,,2.6,0,0
12/13/14 0:15,4.1,658,8.08,,2.3,0,0
12/13/14 0:30,4.06,658,8.08,,2.3,0,0
12/13/14 0:45,4.03,658,8.07,,2.7,0,0
12/13/14 1:00,4.01,658,8.07,,2.1,0,0
12/13/14 1:15,4.01,658,8.07,,2,0,0
12/13/14 1:30,4.01,658,8.07,,2.3,0,0
12/13/14 1:45,4.02,658,8.07,,2.2,0,0
12/13/14 2:00,4.03,658,8.07,,2.5,0,0
12/13/14 2:15,4.04,658,8.07,,3.1,0,0
12/13/14 2:30,4.04,658,8.07,,3.3,0,0
12/13/14 2:45,4.02,658,8.07,,3.5,0,0
12/13/14 3:00,4,659,8.07,,2.7,0,0
12/13/14 3:15,3.99,659,8.07,,2.5,0,0
12/13/14 3:30,3.99,659,8.07,,2,0,0
12/13/14 3:45,3.98,659,8.07,,1.8,0,0
12/13/14 4:00,3.99,659,8.07,,1.8,0,0
12/13/14 4:15,4.01,659,8.07,,2.6,0,0
12/13/14 4:30,4.04,659,8.07,,3.5,0,0
12/13/14 4:45,4.06,659,8.07,,4,0,0
12/13/14 5:00,4.08,659,8.07,,4.1,0,0
12/13/14 5:15,4.1,659,8.07,,4,0,0
12/13/14 5:30,4.12,659,8.07,,4.5,0,0
12/13/14 5:45,4.13,659,8.07,,4,0,0
12/13/14 6:00,4.15,659,8.07,,4.2,0,0
12/13/14 6:15,4.16,659,8.07,,3.6,0,0
12/13/14 6:30,4.18,659,8.07,,3,0,0
12/13/14 6:45,4.2,659,8.07,,3.1,0,0
12/13/14 7:00,4.23,659,8.07,,3,0,0
12/13/14 7:15,4.25,659,8.07,,2.8,0,0
12/13/14 7:30,4.28,659,8.07,,3.1,0,0
12/13/14 7:45,4.31,659,8.07,,3.3,0,0
12/13/14 8:00,4.34,659,8.08,,3.2,0,0
12/13/14 8:15,4.38,659,8.08,,2.9,0,0
12/13/14 8:30,4.42,658,8.09,,2.9,0,0
12/13/14 8:45,4.47,658,8.1,,2.8,0,0
12/13/14 9:00,4.52,658,8.12,,2.5,0,0
12/13/14 9:15,4.58,657,8.13,,2.5,0,0
12/13/14 9:30,4.65,656,8.15,,2.5,0,0
12/13/14 9:45,4.72,655,8.16,,2.3,0,0
12/13/14 10:00,4.8,654,8.18,,2.5,0,0
12/13/14 10:15,4.9,653,8.2,,1.8,0,0
12/13/14 10:30,5.01,652,8.21,,2.3,0,0
12/13/14 10:45,5.12,652,8.23,,2,0,0
12/13/14 11:00,5.24,651,8.24,,1.8,113.3,14.35
12/13/14 11:15,5.37,651,8.25,,1.8,115.4,14.57
12/13/14 11:30,5.5,651,8.27,,1.7,117.5,14.79
12/13/14 11:45,5.63,650,8.28,,1.7,119.3,14.97
12/13/14 12:00,5.75,649,8.29,,2,120.9,15.11
12/13/14 12:15,5.88,648,8.3,,2,122.5,15.27
12/13/14 12:30,6.01,646,8.32,,1.8,123.9,15.38
12/13/14 12:45,6.13,645,8.33,,1.5,125,15.48
12/13/14 13:00,6.24,643,8.33,,1.5,125.8,15.53
12/13/14 13:15,6.35,642,8.34,,1.5,126.6,15.59
12/13/14 13:30,6.45,641,8.35,,1.7,127.3,15.63
12/13/14 13:45,6.56,640,8.36,,1.7,127.6,15.63
12/13/14 14:00,6.65,639,8.36,,1.4,127.8,15.62
12/13/14 14:15,6.73,638,8.36,,1.6,127.9,15.6
12/13/14 14:30,6.82,638,8.36,,1.6,127.7,15.54
12/13/14 14:45,6.89,637,8.37,,1.7,127.4,15.47
12/13/14 15:00,6.96,637,8.37,,1.5,126.7,15.36
12/13/14 15:15,7.02,637,8.37,,1.7,125.8,15.24
12/13/14 15:30,7.07,638,8.36,,1.7,124.6,15.06
12/13/14 15:45,7.1,639,8.36,,1.5,122.9,14.85
12/13/14 16:00,7.13,640,8.35,,1.7,121,14.61
12/13/14 16:15,7.15,641,8.34,,1.7,118.8,14.34
12/13/14 16:30,7.15,642,8.33,,1.4,116.7,14.09
12/13/14 16:45,7.16,643,8.32,,1.5,114.3,13.8
12/13/14 17:00,7.15,643,8.31,,1.5,112.3,13.55
12/13/14 17:15,7.15,643,8.3,,1.4,109.9,13.27
12/13/14 17:30,7.14,643,8.29,,1.6,108.1,13.04
12/13/14 17:45,7.13,642,8.28,,1.8,106.3,12.84
12/13/14 18:00,7.12,642,8.27,,1.8,104.8,12.66
12/13/14 18:15,7.11,642,8.26,,1.7,103.3,12.48
12/13/14 18:30,7.1,642,8.25,,1.7,101.9,12.32
12/13/14 18:45,7.08,643,8.24,,1.7,100.8,12.19
12/13/14 19:00,7.06,643,8.23,,1.7,99.6,12.05
12/13/14 19:15,7.05,643,8.22,,1.7,98.5,11.91
12/13/14 19:30,7.03,644,8.21,,2.2,97.4,11.79
12/13/14 19:45,7.02,645,8.2,,2.3,96.5,11.69
12/13/14 20:00,7,646,8.19,,2.6,95.6,11.58
12/13/14 20:15,6.99,646,8.18,,3.7,94.8,11.49
12/13/14 20:30,6.97,647,8.17,,2.5,94.2,11.42
12/13/14 20:45,6.96,647,8.17,,2.4,93.6,11.35
12/13/14 21:00,6.95,648,8.16,,2.5,93.1,11.29
12/13/14 21:15,6.94,648,8.15,,2.1,92.6,11.24
12/13/14 21:30,6.93,649,8.14,,1.8,92.3,11.2
12/13/14 21:45,6.92,649,8.14,,1.8,91.9,11.16
12/13/14 22:00,6.91,650,8.13,,2,91.6,11.13
12/13/14 22:15,6.9,650,8.13,,1.9,91.4,11.1
12/13/14 22:30,6.89,650,8.12,,2,91.1,11.07
12/13/14 22:45,6.88,651,8.12,,2,90.9,11.04
12/13/14 23:00,6.86,651,8.11,,1.9,90.7,11.02
12/13/14 23:15,6.85,651,8.11,,1.8,90.5,11
12/13/14 23:30,6.84,651,8.1,,2,90.3,10.98
12/13/14 23:45,6.83,652,8.1,,1.8,90.1,10.97
12/14/14 0:00,6.82,652,8.1,,1.7,90.1,10.96
12/14/14 0:15,6.81,652,8.1,,1.7,89.9,10.94
12/14/14 0:30,6.79,652,8.09,,1.8,89.8,10.94
12/14/14 0:45,6.76,652,8.09,,1.7,89.6,10.92
12/14/14 1:00,6.73,652,8.09,,1.8,89.6,10.92
12/14/14 1:15,6.69,652,8.09,,1.8,89.4,10.92
12/14/14 1:30,6.65,652,8.09,,1.5,89.3,10.91
12/14/14 1:45,6.61,652,8.08,,1.8,89.2,10.91
12/14/14 2:00,6.59,653,8.08,,1.8,89.1,10.91
12/14/14 2:15,6.57,652,8.08,,1.4,89.1,10.91
12/14/14 2:30,6.57,653,8.08,,1.8,89,10.9
12/14/14 2:45,6.57,653,8.08,,2.2,89.1,10.91
12/14/14 3:00,6.58,653,8.08,,1.8,89,10.9
12/14/14 3:15,6.58,653,8.08,,2,89,10.9
12/14/14 3:30,6.59,653,8.08,,2.5,89,10.89
12/14/14 3:45,6.59,653,8.07,,2.8,89,10.89
12/14/14 4:00,6.59,653,8.08,,2.4,89,10.89
12/14/14 4:15,6.58,653,8.07,,2.3,89,10.89
12/14/14 4:30,6.58,655,8.07,,2.3,88.9,10.89
12/14/14 4:45,6.58,657,8.07,,2.1,88.9,10.89
12/14/14 5:00,6.58,656,8.07,,2.6,88.9,10.88
12/14/14 5:15,6.59,656,8.07,,2.3,88.9,10.88
12/14/14 5:30,6.6,656,8.07,,2,88.9,10.88
12/14/14 5:45,6.61,656,8.07,,2.1,88.9,10.87
12/14/14 6:00,6.63,656,8.07,,2,88.8,10.86
12/14/14 6:15,6.64,656,8.06,,2.6,88.8,10.86
12/14/14 6:30,6.65,657,8.06,,2.6,88.8,10.85
12/14/14 6:45,6.67,655,8.06,,2,88.8,10.85
12/14/14 7:00,6.68,657,8.06,,2.3,88.8,10.84
12/14/14 7:15,6.69,657,8.06,,2.4,88.8,10.85
12/14/14 7:30,6.7,657,8.06,,2,89.1,10.87
12/14/14 7:45,6.72,657,8.06,,2.3,89.3,10.9
12/14/14 8:00,6.73,657,8.07,,2,89.8,10.95
12/14/14 8:15,6.75,657,8.07,,2,90.5,11.03
12/14/14 8:30,6.77,656,8.08,,2,91.3,11.12
12/14/14 8:45,6.8,656,8.09,,1.7,92.8,11.3
12/14/14 9:00,6.82,655,8.1,,2.5,94.4,11.49
12/14/14 9:15,6.87,655,8.12,,2.3,96.5,11.73
12/14/14 9:30,6.91,654,8.13,,2.1,98.9,12
12/14/14 9:45,6.96,653,8.15,,1.8,101.2,12.28
12/14/14 10:00,7.01,652,8.16,,2,103.6,12.55
12/14/14 10:15,7.06,651,8.18,,1.8,105.8,12.8
12/14/14 10:30,7.09,650,8.19,,1.5,107.4,12.98
12/14/14 10:45,7.13,650,8.2,,1.6,108.7,13.12
12/14/14 11:00,7.17,649,8.21,,1.3,110.1,13.28
12/14/14 11:15,7.2,648,8.22,,1.5,111.1,13.39
12/14/14 11:30,7.23,648,8.23,,1.5,111.8,13.47
12/14/14 11:45,7.27,647,8.24,,1.6,112.9,13.58
12/14/14 12:00,7.3,647,8.25,,1.9,113.5,13.64
12/14/14 12:15,7.34,646,8.26,,1.5,114.2,13.72
12/14/14 12:30,7.38,645,8.27,,1.4,115,13.81
12/14/14 12:45,7.44,644,8.28,,1.5,116.6,13.97
12/14/14 13:00,7.5,644,8.29,,2,118.3,14.15
12/14/14 13:15,7.58,641,8.31,,1.5,119.9,14.32
12/14/14 13:30,7.65,645,8.32,,1.7,121.4,14.47
12/14/14 13:45,7.7,644,8.33,,1.7,122.4,14.57
12/14/14 14:00,7.75,643,8.34,,1.7,123,14.63
12/14/14 14:15,7.79,642,8.34,,1.3,123.2,14.63
12/14/14 14:30,7.81,642,8.34,,1.7,122.8,14.58
12/14/14 14:45,7.83,638,8.34,,1.4,121.8,14.46
12/14/14 15:00,7.84,638,8.34,,1.5,120.5,14.3
12/14/14 15:15,7.85,638,8.33,,1.5,119,14.12
12/14/14 15:30,7.85,639,8.32,,1.3,117.4,13.93
12/14/14 15:45,7.87,639,8.32,,1.4,115.7,13.72
12/14/14 16:00,7.88,639,8.31,,1.7,113.9,13.5
12/14/14 16:15,7.9,640,8.3,,1.7,112,13.28
12/14/14 16:30,7.91,641,8.29,,1.8,110.2,13.06
12/14/14 16:45,7.91,641,8.28,,2,108.3,12.83
12/14/14 17:00,7.91,641,8.27,,1.6,106.4,12.61
12/14/14 17:15,7.9,644,8.26,,1.7,104.8,12.42
12/14/14 17:30,7.88,643,8.25,,1.8,103.1,12.22
12/14/14 17:45,7.86,644,8.24,,2.4,101.7,12.06
12/14/14 18:00,7.85,646,8.24,,2.1,100.4,11.91
12/14/14 18:15,7.83,647,8.23,,1.9,99.1,11.77
12/14/14 18:30,7.81,646,8.22,,2,98,11.64
12/14/14 18:45,7.79,646,8.21,,2.2,97,11.52
12/14/14 19:00,7.77,648,8.2,,2.3,96.1,11.42
12/14/14 19:15,7.75,648,8.19,,2.3,95.3,11.34
12/14/14 19:30,7.74,650,8.18,,2,94.5,11.25
12/14/14 19:45,7.72,649,8.17,,2.3,93.9,11.17
12/14/14 20:00,7.71,649,8.16,,2,93.4,11.12
12/14/14 20:15,7.69,649,8.16,,2.2,92.8,11.06
12/14/14 20:30,7.68,650,8.15,,2,92.4,11.01
12/14/14 20:45,7.66,650,8.14,,2.3,92,10.96
12/14/14 21:00,7.65,651,8.14,,2.8,91.5,10.91
12/14/14 21:15,7.64,652,8.13,,3.1,91.2,10.87
12/14/14 21:30,7.62,652,8.12,,3.1,90.9,10.84
12/14/14 21:45,7.61,653,8.12,,3.2,90.6,10.81
12/14/14 22:00,7.6,653,8.12,,3.3,90.4,10.78
12/14/14 22:15,7.59,653,8.11,,3.1,90.2,10.76
12/14/14 22:30,7.58,653,8.11,,2.9,90,10.75
12/14/14 22:45,7.58,654,8.11,,2.6,89.9,10.73
12/14/14 23:00,7.57,654,8.1,,2.4,89.7,10.71
12/14/14 23:15,7.56,654,8.1,,2.2,89.6,10.71
12/14/14 23:30,7.55,654,8.1,,2.1,89.4,10.69
12/14/14 23:45,7.54,654,8.1,,2.1,89.4,10.69
12/15/14 0:00,7.53,655,8.1,,2,89.3,10.68
12/15/14 0:15,7.52,655,8.09,,2.3,89.1,10.66
12/15/14 0:30,7.51,655,8.09,,2,89.1,10.66
12/15/14 0:45,7.5,655,8.09,,2,89,10.65
12/15/14 1:00,7.49,654,8.09,,2,89,10.65
12/15/14 1:15,7.48,654,8.09,,2,88.9,10.64
12/15/14 1:30,7.48,654,8.09,,2.1,88.8,10.64
12/15/14 1:45,7.47,654,8.08,,2.3,88.8,10.63
12/15/14 2:00,7.47,654,8.08,,2,88.7,10.63
12/15/14 2:15,7.47,654,8.08,,1.7,88.7,10.62
12/15/14 2:30,7.46,653,8.08,,2.1,88.7,10.62
12/15/14 2:45,7.46,653,8.08,,2,88.6,10.62
12/15/14 3:00,7.45,653,8.08,,2,88.6,10.61
12/15/14 3:15,7.45,653,8.08,,2,88.6,10.61
12/15/14 3:30,7.45,653,8.08,,2.1,88.5,10.61
12/15/14 3:45,7.45,652,8.08,,1.9,88.5,10.6
12/15/14 4:00,7.44,652,8.08,,2.5,88.4,10.6
12/15/14 4:15,7.44,652,8.07,,3.2,88.4,10.6
12/15/14 4:30,7.44,652,8.07,,2.3,88.4,10.6
12/15/14 4:45,7.44,652,8.07,,2.1,88.4,10.59
12/15/14 5:00,7.43,652,8.07,,2,88.3,10.59
12/15/14 5:15,7.43,651,8.07,,2.3,88.3,10.58
12/15/14 5:30,7.42,652,8.07,,2,88.3,10.58
12/15/14 5:45,7.42,653,8.07,,2.1,88.2,10.58
12/15/14 6:00,7.41,652,8.07,,1.9,88.2,10.58
12/15/14 6:15,7.41,651,8.07,,2,88.2,10.57
12/15/14 6:30,7.4,652,8.07,,2.1,88.1,10.57
12/15/14 6:45,7.4,652,8.07,,2.1,88.1,10.57
12/15/14 7:00,7.4,651,8.07,,2.5,88.1,10.57
12/15/14 7:15,7.4,653,8.07,,2.5,88.1,10.57
12/15/14 7:30,7.4,655,8.07,,2.3,88.3,10.59
12/15/14 7:45,7.4,656,8.07,,2,88.7,10.64
12/15/14 8:00,7.41,656,8.07,,2.5,89.6,10.74
12/15/14 8:15,7.42,656,8.08,,2,90.6,10.86
12/15/14 8:30,7.43,654,8.09,,2.1,91.8,11
12/15/14 8:45,7.44,652,8.1,,2.2,93.3,11.18
12/15/14 9:00,7.46,649,8.11,,1.8,95,11.38
12/15/14 9:15,7.47,647,8.13,,1.9,96.5,11.56
12/15/14 9:30,7.49,646,8.14,,1.8,98.1,11.75
12/15/14 9:45,7.5,645,8.15,,1.7,99.6,11.92
