agency,site_no,site,datetime,discharge_cfs,gage_ht_ft,no3_mgl
USGS,03339000,vermillion_danville,2017-01-01T06:00:00Z,1100,4.6,NA
USGS,03339000,vermillion_danville,2017-01-01T06:15:00Z,1090,4.59,NA
USGS,03339000,vermillion_danville,2017-01-01T06:30:00Z,1090,4.58,NA
USGS,03339000,vermillion_danville,2017-01-01T06:45:00Z,1090,4.59,NA
USGS,03339000,vermillion_danville,2017-01-01T07:00:00Z,1090,4.58,NA
USGS,03339000,vermillion_danville,2017-01-01T07:15:00Z,1090,4.58,NA
USGS,03339000,vermillion_danville,2017-01-01T07:30:00Z,1090,4.58,NA
USGS,03339000,vermillion_danville,2017-01-01T07:45:00Z,1090,4.58,NA
USGS,03339000,vermillion_danville,2017-01-01T08:00:00Z,1090,4.58,NA
USGS,03339000,vermillion_danville,2017-01-01T08:15:00Z,1090,4.58,NA
USGS,03339000,vermillion_danville,2017-01-01T08:30:00Z,1080,4.57,NA
USGS,03339000,vermillion_danville,2017-01-01T08:45:00Z,1080,4.57,NA
USGS,03339000,vermillion_danville,2017-01-01T09:00:00Z,1080,4.57,NA
USGS,03339000,vermillion_danville,2017-01-01T09:15:00Z,1080,4.57,NA
USGS,03339000,vermillion_danville,2017-01-01T09:30:00Z,1080,4.56,NA
USGS,03339000,vermillion_danville,2017-01-01T09:45:00Z,1080,4.57,NA
USGS,03339000,vermillion_danville,2017-01-01T10:00:00Z,1080,4.56,NA
USGS,03339000,vermillion_danville,2017-01-01T10:15:00Z,1080,4.56,NA
USGS,03339000,vermillion_danville,2017-01-01T10:30:00Z,1080,4.56,NA
USGS,03339000,vermillion_danville,2017-01-01T10:45:00Z,1080,4.56,NA
USGS,03339000,vermillion_danville,2017-01-01T11:00:00Z,1080,4.56,NA
USGS,03339000,vermillion_danville,2017-01-01T11:15:00Z,1080,4.56,NA
USGS,03339000,vermillion_danville,2017-01-01T11:30:00Z,1070,4.55,NA
USGS,03339000,vermillion_danville,2017-01-01T11:45:00Z,1070,4.55,NA
USGS,03339000,vermillion_danville,2017-01-01T12:00:00Z,1070,4.55,NA
USGS,03339000,vermillion_danville,2017-01-01T12:15:00Z,1060,4.54,NA
USGS,03339000,vermillion_danville,2017-01-01T12:30:00Z,1070,4.55,NA
USGS,03339000,vermillion_danville,2017-01-01T12:45:00Z,1070,4.55,NA
USGS,03339000,vermillion_danville,2017-01-01T13:00:00Z,1060,4.54,NA
USGS,03339000,vermillion_danville,2017-01-01T13:15:00Z,1060,4.54,NA
USGS,03339000,vermillion_danville,2017-01-01T13:30:00Z,1060,4.54,NA
USGS,03339000,vermillion_danville,2017-01-01T13:45:00Z,1060,4.54,NA
USGS,03339000,vermillion_danville,2017-01-01T14:00:00Z,1060,4.54,NA
USGS,03339000,vermillion_danville,2017-01-01T14:15:00Z,1060,4.54,NA
USGS,03339000,vermillion_danville,2017-01-01T14:30:00Z,1060,4.53,NA
USGS,03339000,vermillion_danville,2017-01-01T14:45:00Z,1050,4.52,NA
USGS,03339000,vermillion_danville,2017-01-01T15:00:00Z,1060,4.53,NA
USGS,03339000,vermillion_danville,2017-01-01T15:15:00Z,1050,4.52,NA
USGS,03339000,vermillion_danville,2017-01-01T15:30:00Z,1050,4.51,NA
USGS,03339000,vermillion_danville,2017-01-01T15:45:00Z,1050,4.51,NA
USGS,03339000,vermillion_danville,2017-01-01T16:00:00Z,1050,4.51,NA
USGS,03339000,vermillion_danville,2017-01-01T16:15:00Z,1040,4.5,NA
USGS,03339000,vermillion_danville,2017-01-01T16:30:00Z,1050,4.51,NA
USGS,03339000,vermillion_danville,2017-01-01T16:45:00Z,1050,4.51,NA
USGS,03339000,vermillion_danville,2017-01-01T17:00:00Z,1050,4.51,NA
USGS,03339000,vermillion_danville,2017-01-01T17:15:00Z,1040,4.5,NA
USGS,03339000,vermillion_danville,2017-01-01T17:30:00Z,1040,4.5,NA
USGS,03339000,vermillion_danville,2017-01-01T17:45:00Z,1030,4.49,NA
USGS,03339000,vermillion_danville,2017-01-01T18:00:00Z,1030,4.48,NA
USGS,03339000,vermillion_danville,2017-01-01T18:15:00Z,1030,4.48,NA
USGS,03339000,vermillion_danville,2017-01-01T18:30:00Z,1030,4.49,NA
USGS,03339000,vermillion_danville,2017-01-01T18:45:00Z,1030,4.49,NA
USGS,03339000,vermillion_danville,2017-01-01T19:00:00Z,1030,4.49,NA
USGS,03339000,vermillion_danville,2017-01-01T19:15:00Z,1030,4.49,NA
USGS,03339000,vermillion_danville,2017-01-01T19:30:00Z,1030,4.49,NA
USGS,03339000,vermillion_danville,2017-01-01T19:45:00Z,1030,4.49,NA
USGS,03339000,vermillion_danville,2017-01-01T20:00:00Z,1030,4.49,NA
USGS,03339000,vermillion_danville,2017-01-01T20:15:00Z,1030,4.49,NA
USGS,03339000,vermillion_danville,2017-01-01T20:30:00Z,1030,4.48,NA
USGS,03339000,vermillion_danville,2017-01-01T20:45:00Z,1030,4.49,NA
USGS,03339000,vermillion_danville,2017-01-01T21:00:00Z,1030,4.48,NA
USGS,03339000,vermillion_danville,2017-01-01T21:15:00Z,1030,4.48,NA
USGS,03339000,vermillion_danville,2017-01-01T21:30:00Z,1030,4.48,NA
USGS,03339000,vermillion_danville,2017-01-01T21:45:00Z,1030,4.48,NA
USGS,03339000,vermillion_danville,2017-01-01T22:00:00Z,1030,4.48,NA
USGS,03339000,vermillion_danville,2017-01-01T22:15:00Z,1030,4.48,NA
USGS,03339000,vermillion_danville,2017-01-01T22:30:00Z,1030,4.48,NA
USGS,03339000,vermillion_danville,2017-01-01T22:45:00Z,1030,4.48,NA
USGS,03339000,vermillion_danville,2017-01-01T23:00:00Z,1020,4.47,NA
USGS,03339000,vermillion_danville,2017-01-01T23:15:00Z,1020,4.47,NA
USGS,03339000,vermillion_danville,2017-01-01T23:30:00Z,1020,4.46,NA
USGS,03339000,vermillion_danville,2017-01-01T23:45:00Z,1020,4.46,NA
USGS,03339000,vermillion_danville,2017-01-02T00:00:00Z,1010,4.45,NA
USGS,03339000,vermillion_danville,2017-01-02T00:15:00Z,1010,4.44,NA
USGS,03339000,vermillion_danville,2017-01-02T00:30:00Z,1e3,4.43,NA
USGS,03339000,vermillion_danville,2017-01-02T00:45:00Z,995,4.42,NA
USGS,03339000,vermillion_danville,2017-01-02T01:00:00Z,989,4.41,NA
USGS,03339000,vermillion_danville,2017-01-02T01:15:00Z,978,4.39,NA
USGS,03339000,vermillion_danville,2017-01-02T01:30:00Z,972,4.38,NA
USGS,03339000,vermillion_danville,2017-01-02T01:45:00Z,961,4.36,NA
USGS,03339000,vermillion_danville,2017-01-02T02:00:00Z,955,4.35,NA
USGS,03339000,vermillion_danville,2017-01-02T02:15:00Z,950,4.34,NA
USGS,03339000,vermillion_danville,2017-01-02T02:30:00Z,939,4.32,NA
USGS,03339000,vermillion_danville,2017-01-02T02:45:00Z,933,4.31,NA
